"gid","est","nombre","tipo_red","intercambio","rio","municipio","concejo","lugar","frecuencia","circuito","coord_x","coord_y","zona","h5000","h25000","pk","cota","observaciones","foto","piedefoto","croquis","mapa","cuenca","localizacion","acuifero","existencia","bioticos","coincidencia_ib","codigo_ib","codigo_ib_2","codigo_tipo","tipo_masa","codigo_masa","nombre_masa","latitude","longitude","geom"
53,"11101000","Baztán en Arizkun","Operativa",,"BAZTAN","BAZTAN","ARIZKUN","Puente cruce Arizcun-Bozate","Trimestral","6","622484","4780658","IX.4","66-81","66-III","6","230","BdD tiene otro puente aguas arriba: XYZ: 623.840;4.781.992,255. Mapa 66-82","Arizcun.jpg","Tomando la muestra desde el puente","Baztán en Arizcun.jpg","marizcun.jpg","NORTE","Circulando por la N-121-B, en el cruce hacia Arizcun, en vez de ir al pueblo hacia la derecha, hay que dirigirse hacia la izquierda por un camino, y justo al entrar existe un puente pequeño, que es donde se toma la muestra.",,"1971-Actualidad","RELATIVA","El punto de bióticos está bastante aguas abajo (3,5km) y entre medias se une la regata Bearzun, justo entre Elizondo y Elbetea. Está en otra masa de agua.","BIDASOA_047349","NA-96","R-T23","RÍOS VASCO-PIRENAICOS","ES002MAR002340","Río Bidasoa I","43.16876341681242","-1.493163664887976","0101000020E66400000000000028FF2241000000809C3C5241"
69,"11102000","Baztan en Oronoz-Mugairi","Operativa",,"BAZTAN","BAZTAN","ORONOZ MUGAIRE","Puente carretera Arraioz","Mensual","6","613504","4777619","IX.4","90-26","90-II","20","142",,"Oronoz-Mugaire.jpg","Vista del puente desde aguas arriba","Baztán en Oronoz Mugaire.jpg","mbaztanoronoz.jpg","NORTE","A llegar a Oronoz por la N-121-A, se gira a la derecha en dirección Elizondo y en el primer puente a la salida del pueblo se toma la muestra.",,"1971-Actualidad","RELATIVA","El punto de bióticos está aguas abajo, junto al puente de acceso a Bertiz.","BIDASOA_036604","NA-97","R-T32","PEQUEÑOS EJES CANTABRO-ATLÁNTICOS CALCÁREOS","ES002MAR002380","Río Bidasoa II","43.14280733016907","-1.604227918033962","0101000020E66400000000000000B92241000000C0A4395241"
92,"11103000","Bidasoa en Sumbilla","Operativa",,"BIDASOA","SUNBILLA","SUMBILLA","Puente Viejo","Mensual","6","608114","4779850","IX.4","90-15","90-II","29","105",,"Sumbilla.jpg","Puente de Sumbilla desde aguas abajo","Bidasoa en Sumbilla.jpg","msumbilla.jpg","NORTE","Dentro del pueblo de Sumbilla hay dos puentes. Se toma en el de más aguas arriba, que es el más antiguo y que se encuentra enfrente del Ayuntamiento.",,"1971-Actualidad","EXACTA","Coincide con punto de índices bióticos.","BIDASOA_027622","NA-98","R-T29","EJES FLUVIALES PRINCIPALES CANTABRO-ATLÁNTICOS CALCÁREOS","ES010MAR002420","Río Bidasoa III","43.16368100048507","-1.670055942875875","0101000020E664000000000000E48E224100000080D23B5241"
36,"11104000","Bidasoa en Endarlatsa","Operativa",,"BIDASOA","BERA/VERA DE BIDASOA","ENDARLATSA","Puente CN-121","Mensual","6","603080","4794273","IX.4","65-23","65-I","47","15","Estación de aforos 10106: Bidasoa en Endarlaza","Endarlatza.jpg","Estación de aforos 10106","Bidasoa en Endarlaza.jpg","mendarlaza.jpg","NORTE","Se va hacia Behovia, y en el puente de la frontera entre Navarra y Guipúzcoa se encuentra la estación de aforos, que es donde se toma la muestra.",,"1971-Actualidad","NO","No hay punto de índices bióticos",,,"R-T29","EJES FLUVIALES PRINCIPALES CANTABRO-ATLÁNTICOS CALCÁREOS","ES010MAR002420","Río Bidasoa III","43.294227252808426","-1.729270583255221","0101000020E6640000000000009067224100000040E8495241"
68,"11105000","Bidasoa en Bera/Vera de Bidasoa","Operativa",,"BIDASOA","BERA/VERA DE BIDASOA","BERA/VERA DE BIDASOA","Junto a Funvera","Mensual","6","606306","4792219","IX.4","65-34","65-I","40.9","30",,"Bera de Bidasoa.jpg","Puente junto a Fundiciones Vera","Bidasoa en Bera.jpg","mvera.jpg","NORTE","La muestra se toma dentro del pueblo, en un puente (puente de Funvera) que está al lado de una bajera de autobuses ALSA.",,"1992; 2000-Actualidad","RELATIVA","El punto de bióticos esta aguas abajo (2,5km), en un acceso al río junto a Aceralia.","BIDASOA_004153","NA-99","R-T29","EJES FLUVIALES PRINCIPALES CANTABRO-ATLANTICOS CALCAREOS","ES010MAR002420","Río Bidasoa III","43.275287895930575","-1.689908708011774","0101000020E664000000000000C4802241000000C0E6475241"
45,"11901000","Zeberia en Oronoz-Mugairi","Operativa",,"ZEBERIA","BAZTAN","ORONOZ-MUGAIRI","Estación de aforos del GN: AN-943","Trimestral","6","613194","4776331","IX.4","90-26","90-II","9","155","Estación de aforos del GN: AN-943","Ceveria.jpg","Estación de aforos AN-943","Cebería en Oronoz.jpg","mceberia.jpg","NORTE","Viniendo por la N-121-A, nada más salir del encajonanamiento de la regata Marín y antes de llegar a Oronoz Mugaire se gira a la izquierda atravesando la regata Marín por un estrecho puente de piedra. Se pasa al lado de la central hidroeléctrica de EHN y",,"2000-Actualidad","NO","No hay punto de índices bióticos",,,"R-T23","RÍOS VASCO-PIRENAICOS","ES002MAR002370","Río Marín y Cevería","43.13125891471935","-1.608301946008731","0101000020E66400000000000094B62241000000C062385241"
39,"11902000","Ezcurra en Santesteban","Operativa",,"EZCURRA","DONEZTEBE/SANTESTEBAN","DONEZTEBE/SANTESTEBAN","Puente carretera Leitza","Mensual","6","607999","4776304","IX.4","90-25","90-II","19","120","En verano suele bajar poco caudal y es recomendable acceder al cauce y tomar la muestra en el centro del río, aunque el acceso no es fácil.","Santesteban.jpg","Vista desde el puente hacia aguas abajo","Ezcurra en Santesteban.jpg","msantesteban.jpg","NORTE","Dentro del pueblo de Santesteban, se trata del puente de la carretera que va a Elgorriaga y Leiza",,"1971-Actualidad","RELATIVA","El punto de Bióticos esta aguas arriba del de química (1,1 km).","EZKURRA_001864","NA-100","R-T23","RÍOS VASCO-PIRENAICOS","ES005MAR002390","Río Ezcurra y Espelura","43.13177480521377","-1.672161507157675","0101000020E664000000000000FE8D2241000000005C385241"
44,"11903000","Onin en Lesaka (Desembocadura)","Operativa",,"ONIN","LESAKA","LESAKA","Antes desembocadura","Mensual","6","607034","4789873","IX.4","65-45","65-II","5","45","En verano suele bajar poco caudal y es recomendable acceder al cauce y tomar la muestra en el centro del río o bien en otro puente viejo que hay unos 50 m. aguas arriba.","Lesaka(antes desembocadura).jpg","Obra de fábrica en la proximidad de su desembocadura","Onin en Lesaca(antes desembocadura).jpg","mlesaca1.jpg","NORTE","Nada más abandonar la N-121-A, se encuentra la desembocadura de la regata Onin en el Bidasoa. Está justo al lado de transportes Bidasoa y de un hotel.",,"1975-Actualidad","RELATIVA","Índices bióticos se encuentra aguas arriba, en el puente a medio camino de Lesaka. Los 2 puntos están aguas abajo de la depuradora.","ONIN_000605","NA-103","R-T23","RÍOS VASCO-PIRENAICOS",,"Sin masa","43.25406544661814","-1.681395310407469","0101000020E66400000000000074862241000000409C455241"
79,"11904000","Onin en Lesaka (Aguas arriba núcleo urbano)","Operativa",,"ONIN","LESAKA","LESAKA","Aguas arriba núcleo urbano","Trimestral","6","603930","4789000","IX.4","65-54","65-III","2.9","82","Se ha tomado en 604.578,4.789.297,75, que es el croquis adjunto. Cuidado en la toma de estos puntos.","Lesaka(aguas-arriba).jpg","Vista desde el puente hacia aguas arriba","Onin en Lesaca(aguas arriba).jpg","mlesaca2.jpg","NORTE","Aguas arriba de laminaciones: se toma justo enfrente de la fábrica Aceralia (frente a la puerta 5). Hay un letrero en el puente que pone ""GR-11 SAN ANTÓN"". Las coordenadas del BdD son mucho más arriba.",,"1999-Actualidad","EXACTA","Coincide con punto de índices bióticos.","ONIN_003608","NA-102","R-T23","RÍOS VASCO-PIRENAICOS",,"Sin masa","43.24664066910774","-1.719790157074917","0101000020E664000000000000346E224100000000C2445241"
76,"11905000","Onin en Lesaka 2","Histórica",,"ONIN","LESAKA","LESAKA","Entre depuradora de laminaciones y EDAR",,"A","606226","4789692","IX.4","65-54","65-III","3.9","58","Se toma en puente de acceso a Aceralia. Se elimina en Febrero de 2005 ya que se puso por indices bioticos y el tramo en que muestrean esta aguas debajo de la depuradora, al igual que Onin 3.","Lesaka(entre depuradora-Edar).jpg","Desde el puente de la serrería hacia aguas arriba","Onin en Lesaca (entre depuradora-Edar).jpg","mlesaca3.jpg","NORTE","Entre depuradora de laminaciones y EDAR: Está justo al lado de la depuradora de Aceralia (tratamiento de efluentes), al lado hay un aserradero.",,"1999-2004","EXACTA","Coincide con punto de índices bióticos.","ONIN_000605","NA-103","R-T23","RÍOS VASCO-PIRENAICOS",,"Sin masa","43.252550319844765","-1.691381799497607","0101000020E66400000000000024802241000000006F455241"
